Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id
TopologicalMaterialField,,位相材質場,Topological Material Field,拓扑材质场,拓撲材質場,위상 재질장,Campo de material topológico,حقل المادة الطوبولوجي,Medan Material Topologis
BasicGroup,,基本,Basic,基本,基本,기본,Básico,أساسي,Dasar
TopologyGroup,,位相構造,Topology,拓扑结构,拓撲結構,위상 구조,Topología,الطوبولوجيا,Topologi
DistributionGroup,,材質分布,Material Distribution,材质分布,材質分佈,재질 분포,Distribución de material,توزيع المادة,Distribusi Material
PatternGroup,,微細構造,Microstructure,微观结构,微觀結構,미세 구조,Microestructura,البنية المجهرية,Mikrostruktur
ReconstructionGroup,,階調再構成,Tone Reconstruction,明暗重建,明暗重建,명암 재구성,Reconstrucción tonal,إعادة بناء الدرجات,Rekonstruksi Nada
LightingGroup,,照明,Lighting,照明,照明,조명,Iluminación,الإضاءة,Pencahayaan
Amount,,強さ,Amount,强度,強度,강도,Intensidad,القوة,Kekuatan
AmountDescription,,元映像と生成された材質場の合成量です,Controls the blend between the source and generated material field.,控制原始画面与生成材质场的混合量。,控制原始畫面與生成材質場的混合量。,원본과 생성된 재질장의 합성량입니다.,Controla la mezcla entre la fuente y el campo generado.,يتحكم في مزج المصدر مع حقل المادة الناتج.,Mengatur campuran sumber dan medan material yang dihasilkan.
Material,,材質,Material,材质,材質,재질,Material,المادة,Material
MaterialDescription,,分布輸送と表面応答に使用する材質モデルです,Selects the material model used for distribution transport and surface response.,选择用于分布传输和表面响应的材质模型。,選擇用於分佈傳輸和表面響應的材質模型。,분포 수송과 표면 반응에 사용할 재질 모델입니다.,Selecciona el modelo usado para el transporte y la respuesta superficial.,يحدد نموذج المادة المستخدم لنقل التوزيع واستجابة السطح.,Memilih model material untuk transportasi distribusi dan respons permukaan.
Quality,,品質,Quality,质量,品質,품질,Calidad,الجودة,Kualitas
QualityDescription,,領域標本数と反復回数を選びます,Selects region sample counts and solver iterations.,选择区域采样数和求解迭代次数。,選擇區域取樣數和求解迭代次數。,영역 표본 수와 반복 횟수를 선택합니다.,Selecciona las muestras regionales y las iteraciones.,يحدد عدد عينات المناطق وتكرارات الحل.,Memilih jumlah sampel wilayah dan iterasi pemecah.
TopologyScale,,位相尺度,Topology Scale,拓扑尺度,拓撲尺度,위상 척도,Escala topológica,مقياس الطوبولوجيا,Skala Topologi
TopologyScaleDescription,,勾配流を構成する輝度地形の平滑化尺度です,Sets the smoothing scale of the luminance terrain used by gradient flow.,设置用于梯度流的亮度地形平滑尺度。,設定用於梯度流的亮度地形平滑尺度。,기울기 흐름에 쓰는 휘도 지형의 평활 척도입니다.,Define el suavizado del terreno de luminancia.,يضبط تنعيم تضاريس السطوع المستخدمة في تدفق التدرج.,Mengatur skala penghalusan medan luminansi.
FeatureThreshold,,特徴閾値,Feature Threshold,特征阈值,特徵閾值,특징 임계값,Umbral de rasgo,عتبة الميزة,Ambang Fitur
FeatureThresholdDescription,,微小な勾配を停留点として扱う閾値です,Sets the gradient threshold treated as a stationary point.,设置将微小梯度视为驻点的阈值。,設定將微小梯度視為駐點的閾值。,작은 기울기를 정지점으로 처리하는 임계값입니다.,Define el umbral de gradiente considerado estacionario.,يضبط عتبة التدرج التي تعامل كنقطة ثابتة.,Mengatur ambang gradien yang dianggap sebagai titik diam.
Distribution,,分布輸送,Distribution Transport,分布传输,分佈傳輸,분포 수송,Transporte de distribución,نقل التوزيع,Transportasi Distribusi
DistributionDescription,,領域内の色と構造の経験分布を材質分布へ写す強さです,Controls empirical color and structure transport inside each region.,控制区域内颜色与结构经验分布向材质分布的传输强度。,控制區域內色彩與結構經驗分佈向材質分佈的傳輸強度。,영역 안의 색과 구조 경험 분포를 재질 분포로 옮기는 강도입니다.,Controla el transporte de color y estructura dentro de cada región.,يتحكم في نقل توزيع اللون والبنية داخل كل منطقة.,Mengatur transportasi distribusi warna dan struktur di setiap wilayah.
ColorVariation,,色変動,Color Variation,色彩变化,色彩變化,색 변화,Variación de color,تباين اللون,Variasi Warna
ColorVariationDescription,,材質分布の色幅と中心色への移行量です,Controls material color spread and movement toward its center color.,控制材质色彩范围和向中心色的移动量。,控制材質色彩範圍和向中心色的移動量。,재질 분포의 색 폭과 중심색 이동량입니다.,Controla la amplitud cromática y el color central.,يتحكم في مدى اللون والانتقال نحو اللون المركزي.,Mengatur rentang warna dan pergeseran menuju warna pusat.
PatternScale,,模様サイズ,Pattern Scale,纹理大小,紋理大小,무늬 크기,Escala del patrón,حجم النمط,Skala Pola
PatternScaleDescription,,反応拡散の標本間隔と初期核の大きさです,Sets reaction diffusion spacing and seed size.,设置反应扩散间距和初始核大小。,設定反應擴散間距和初始核大小。,반응 확산 간격과 초기 핵의 크기입니다.,Define el espaciado y el tamaño de semillas.,يضبط تباعد الانتشار التفاعلي وحجم البذور.,Mengatur jarak reaksi difusi dan ukuran inti awal.
PatternStrength,,模様強度,Pattern Strength,纹理强度,紋理強度,무늬 강도,Intensidad del patrón,قوة النمط,Kekuatan Pola
